Año,FPI (Nominal)
1961,20.253785
1962,19.999552
1963,20.904235
1964,21.883861
1965,22.077289
1966,22.27471
1967,22.028047
1968,20.922034
1969,21.894417
1970,23.228098
1971,24.723891
1972,26.434285
1973,35.965573
1974,51.694513
1975,54.91437
1976,47.589965
1977,47.822132
1978,52.94162
1979,58.981573
1980,64.988022
1981,63.465373
1982,55.805967
1983,52.984896
1984,55.360952
1985,49.880608
1986,48.742857
1987,50.297513
1988,56.697748
1989,59.616545
1990,63.01351
1991,62.063554
1992,63.934554
1993,61.945179
1994,66.939256
1995,76.625411
1996,77.635011
1997,70.605499
1998,64.660389
1999,55.169583
2000,53.326348
2001,54.964312
2002,53.122296
2003,57.792711
2004,65.55358
2005,67.377129
2006,72.563154
2007,94.253549
2008,117.510642
2009,91.661322
2010,106.743836
2011,131.884416
2012,122.840825
2013,120.125169
2014,115.028666
2015,93.046913
2016,91.924422
2017,98.022859
2018,95.916688
2019,95.103956
2020,98.129793
2021,125.728112
2022,143.653643
2023,123.990957
