Año,Mundo (Inflacion)
1981,12.442437
1982,10.221727
1983,8.669271
1984,8.08032
1985,6.8075666
1986,5.822667
1987,5.7101192
1988,7.1134067
1989,6.923905
1990,8.063461
1991,8.996939
1992,7.6361084
1993,7.144587
1994,10.247935
1995,9.077381
1996,6.526096
1997,5.55413
1998,5.0972915
1999,3.0419466
2000,3.4335155
2001,3.8365726
2002,2.9079986
2003,3.0250452
2004,3.517999
2005,4.1072507
2006,4.2671747
2007,4.810237
2008,8.949953
2009,2.8604486
2010,3.3263447
2011,4.8223963
2012,3.7253268
2013,2.6516733
2014,2.3544905
2015,1.4438572
2016,1.6055392
2017,2.2542765
2018,2.4503624
2019,2.206073
2020,1.9369413
2021,3.4669259
2022,7.9675736
